"Sitemap","Sitemap"
"OK, but not change within last 24h","OK, but not change within last 24h"
"OK","OK"
"Sitemap file not found","Sitemap file not found"
"No Sitemap","No Sitemap"
"Product Types","Product Types"
"ID","ID"
"Filename","Filename"
"Path","Path"
"Status","Status"
"Execute Check","Execute Check"
"No information available","No information available"
"Configuration Parameter","Configuration Parameter"
"Configuration Path","Configuration Path"
"Configuration Value","Configuration Value"
"Configuration Recommendation","Configuration Recommendation"
"Logfile Size", "Logfile Size"
